Cell Name,Description
RM_IHPSG13_1P_1024x16_c2_bm_bist,"1-port SRAM macro, 1024 words x 16 bits"
RM_IHPSG13_1P_1024x32_c2_bm_bist,"1-port SRAM macro, 1024 words x 32 bits"
RM_IHPSG13_1P_1024x64_c2_bm_bist,"1-port SRAM macro, 1024 words x 64 bits"
RM_IHPSG13_1P_1024x8_c2_bm_bist,"1-port SRAM macro, 1024 words x 8 bits"
RM_IHPSG13_1P_2048x32_c2_bm_bist,"1-port SRAM macro, 2048 words x 32 bits"
RM_IHPSG13_1P_2048x64_c2_bm_bist,"1-port SRAM macro, 2048 words x 64 bits"
RM_IHPSG13_1P_256x16_c2_bm_bist,"1-port SRAM macro, 256 words x 16 bits"
RM_IHPSG13_1P_256x32_c2_bm_bist,"1-port SRAM macro, 256 words x 32 bits"
RM_IHPSG13_1P_256x48_c2_bm_bist,"1-port SRAM macro, 256 words x 48 bits"
RM_IHPSG13_1P_256x64_c2_bm_bist,"1-port SRAM macro, 256 words x 64 bits"
RM_IHPSG13_1P_256x8_c3_bm_bist,"1-port SRAM macro, 256 words x 8 bits"
RM_IHPSG13_1P_4096x16_c3_bm_bist,"1-port SRAM macro, 4096 words x 16 bits"
RM_IHPSG13_1P_4096x8_c3_bm_bist,"1-port SRAM macro, 4096 words x 8 bits"
RM_IHPSG13_1P_512x16_c2_bm_bist,"1-port SRAM macro, 512 words x 16 bits"
RM_IHPSG13_1P_512x32_c2_bm_bist,"1-port SRAM macro, 512 words x 32 bits"
RM_IHPSG13_1P_512x64_c2_bm_bist,"1-port SRAM macro, 512 words x 64 bits"
RM_IHPSG13_1P_512x8_c3_bm_bist,"1-port SRAM macro, 512 words x 8 bits"
RM_IHPSG13_1P_64x64_c2_bm_bist,"1-port SRAM macro, 64 words x 64 bits"
RM_IHPSG13_1P_8192x32_c4,"1-port SRAM macro, 8192 words x 32 bits"
RM_IHPSG13_2P_1024x16_c2_bm_bist,"2-port SRAM macro, 1024 words x 16 bits"
RM_IHPSG13_2P_1024x32_c2_bm_bist,"2-port SRAM macro, 1024 words x 32 bits"
RM_IHPSG13_2P_256x16_c2_bm_bist,"2-port SRAM macro, 256 words x 16 bits"
RM_IHPSG13_2P_256x32_c2_bm_bist,"2-port SRAM macro, 256 words x 32 bits"
RM_IHPSG13_2P_256x8_c2_bm_bist,"2-port SRAM macro, 256 words x 8 bits"
RM_IHPSG13_2P_512x16_c2_bm_bist,"2-port SRAM macro, 512 words x 16 bits"
RM_IHPSG13_2P_512x32_c2_bm_bist,"2-port SRAM macro, 512 words x 32 bits"
RM_IHPSG13_2P_512x8_c2_bm_bist,"2-port SRAM macro, 512 words x 8 bits"
RM_IHPSG13_2P_64x22_c2_bm_bist,"2-port SRAM macro, 64 words x 22 bits"
RM_IHPSG13_2P_64x32_c2,"2-port SRAM macro, 64 words x 32 bits"
