Cell Name,Description
sg13g2_a21o_1,"AND-OR gate A21O, drive strength 1"
sg13g2_a21o_2,"AND-OR gate A21O, drive strength 2"
sg13g2_a21oi_1,"AND-OR-Invert gate A21OI, drive strength 1"
sg13g2_a21oi_2,"AND-OR-Invert gate A21OI, drive strength 2"
sg13g2_a22oi_1,"AND-AND-OR-Invert gate A22OI, drive strength 1"
sg13g2_a221oi_1,"AND-AND-OR-Invert gate A221OI, drive strength 1"
sg13g2_and2_1,"2-input AND, drive strength 1"
sg13g2_and2_2,"2-input AND, drive strength 2"
sg13g2_and3_1,"3-input AND, drive strength 1"
sg13g2_and3_2,"3-input AND, drive strength 2"
sg13g2_and4_1,"4-input AND, drive strength 1"
sg13g2_and4_2,"4-input AND, drive strength 2"
sg13g2_antennanp,"antenna protection cell"
sg13g2_buf_1,"buffer, drive strength 1"
sg13g2_buf_16,"buffer, drive strength 16"
sg13g2_buf_2,"buffer, drive strength 2"
sg13g2_buf_4,"buffer, drive strength 4"
sg13g2_buf_8,"buffer, drive strength 8"
sg13g2_decap_4,"decoupling capacitor filler, size 4"
sg13g2_decap_8,"decoupling capacitor filler, size 8"
sg13g2_dfrbp_1,"D flip-flop with reset/set variant DFRBP, drive strength 1"
sg13g2_dfrbp_2,"D flip-flop with reset/set variant DFRBP, drive strength 2"
sg13g2_dlhq_1,"D-type latch/logic cell DLHQ, drive strength 1"
sg13g2_dlhr_1,"D-type latch/logic cell DLHR, drive strength 1"
sg13g2_dlhrq_1,"D-type latch/logic cell DLHRQ, drive strength 1"
sg13g2_dllr_1,"D-type latch/logic cell DLLR, drive strength 1"
sg13g2_dllrq_1,"D-type latch/logic cell DLLRQ, drive strength 1"
sg13g2_dlygate4sd1_1,"delay gate variant DLYGATE4SD1, drive strength 1"
sg13g2_dlygate4sd2_1,"delay gate variant DLYGATE4SD2, drive strength 1"
sg13g2_dlygate4sd3_1,"delay gate variant DLYGATE4SD3, drive strength 1"
sg13g2_ebufn_2,"enable buffer, drive strength 2"
sg13g2_ebufn_4,"enable buffer, drive strength 4"
sg13g2_ebufn_8,"enable buffer, drive strength 8"
sg13g2_einvn_2,"enable inverter, drive strength 2"
sg13g2_einvn_4,"enable inverter, drive strength 4"
sg13g2_einvn_8,"enable inverter, drive strength 8"
sg13g2_fill_1,"filler cell, size 1"
sg13g2_fill_2,"filler cell, size 2"
sg13g2_fill_4,"filler cell, size 4"
sg13g2_fill_8,"filler cell, size 8"
sg13g2_inv_1,"inverter, drive strength 1"
sg13g2_inv_16,"inverter, drive strength 16"
sg13g2_inv_2,"inverter, drive strength 2"
sg13g2_inv_4,"inverter, drive strength 4"
sg13g2_inv_8,"inverter, drive strength 8"
sg13g2_lgcp_1,"clock-gating related cell LGCP, drive strength 1"
sg13g2_mux2_1,"2:1 multiplexer, drive strength 1"
sg13g2_mux2_2,"2:1 multiplexer, drive strength 2"
sg13g2_mux4_1,"4:1 multiplexer, drive strength 1"
sg13g2_nand2_1,"2-input NAND, drive strength 1"
sg13g2_nand2_2,"2-input NAND, drive strength 2"
sg13g2_nand2b_1,"2-input NAND with one inverted input, drive strength 1"
sg13g2_nand2b_2,"2-input NAND with one inverted input, drive strength 2"
sg13g2_nand3_1,"3-input NAND, drive strength 1"
sg13g2_nand3b_1,"3-input NAND with one inverted input, drive strength 1"
sg13g2_nand4_1,"4-input NAND, drive strength 1"
sg13g2_nor2_1,"2-input NOR, drive strength 1"
sg13g2_nor2_2,"2-input NOR, drive strength 2"
sg13g2_nor2b_1,"2-input NOR with one inverted input, drive strength 1"
sg13g2_nor2b_2,"2-input NOR with one inverted input, drive strength 2"
sg13g2_nor3_1,"3-input NOR, drive strength 1"
sg13g2_nor3_2,"3-input NOR, drive strength 2"
sg13g2_nor4_1,"4-input NOR, drive strength 1"
sg13g2_nor4_2,"4-input NOR, drive strength 2"
sg13g2_o21ai_1,"OR-AND-Invert gate O21AI, drive strength 1"
sg13g2_or2_1,"2-input OR, drive strength 1"
sg13g2_or2_2,"2-input OR, drive strength 2"
sg13g2_or3_1,"3-input OR, drive strength 1"
sg13g2_or3_2,"3-input OR, drive strength 2"
sg13g2_or4_1,"4-input OR, drive strength 1"
sg13g2_or4_2,"4-input OR, drive strength 2"
sg13g2_sdfbbp_1,"scan D flip-flop variant SDFBBP, drive strength 1"
sg13g2_sighold,"signal hold cell"
sg13g2_slgcp_1,"clock-gating related cell SLGCP, drive strength 1"
sg13g2_tiehi,"tie-high cell"
sg13g2_tielo,"tie-low cell"
sg13g2_xnor2_1,"2-input XNOR, drive strength 1"
sg13g2_xor2_1,"2-input XOR, drive strength 1"
sg13g2_dfrbpq_1,"D flip-flop with reset/set variant DFRBPQ, drive strength 1"
sg13g2_dfrbpq_2,"D flip-flop with reset/set variant DFRBPQ, drive strength 2"
sg13g2_sdfrbp_1,"scan D flip-flop variant SDFRBP, drive strength 1"
sg13g2_sdfrbp_2,"scan D flip-flop variant SDFRBP, drive strength 2"
sg13g2_sdfrbpq_1,"scan D flip-flop variant SDFRBPQ, drive strength 1"
sg13g2_sdfrbpq_2,"scan D flip-flop variant SDFRBPQ, drive strength 2"
