Device/Layer,Activ,GatPoly,Nwell,pSD,ThickGateOx,HeatTrans,TRANS,EmWind,EmWiHV,HeatRes,SalBlock,PolyRes,MIM,Metal5,TopMetal1,TopMetal2,nBuLay,EXTBlock,nsD,nsD.block,RES,Metal1.res,Activ.mask,Pwell.block,Recog.diode,Recog.esd,IND,substrate
:blue:`1- MOS`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmos,1,1,x,0,0,1,0,x,x,0,0,0,x,x,x,x,x,0,0,0,0,x,x,0,0,0,x,x
nmosHV,1,1,x,0,1,1,0,x,x,0,0,0,x,x,x,x,x,0,0,0,0,x,x,0,0,0,x,x
pmos,1,1,1,1,0,1,0,x,x,0,0,0,x,x,x,x,0,0,0,x,0,x,x,x,0,0,x,x
pmosHV,1,1,1,1,1,1,0,x,x,0,0,0,x,x,x,x,0,0,0,x,0,x,x,x,0,0,x,x
:blue:`2- RF-MOS`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfnmos,1,1,x,1,0,0,0,x,x,0,0,0,x,x,x,x,x,0,0,0,0,x,x,0,0,0,x,x
rfnmosHV,1,1,x,1,1,0,0,x,x,0,0,0,x,x,x,x,x,0,0,0,0,x,x,0,0,0,x,x
rfpmos,1,1,1,1,0,0,0,x,x,0,0,0,x,x,x,x,0,0,0,0,0,x,x,x,0,0,x,x
rfpmosHV,1,1,1,1,1,0,0,x,x,0,0,0,x,x,x,x,0,0,0,0,0,x,x,x,0,0,x,x
:blue:`3- BJT`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npn13G2,1,0,0,1,x,1,1,1,0,x,0,0,x,x,x,x,0,0,0,1,x,x,1,0,0,0,x,0
npn13G2L,1,0,0,1,x,1,1,1,0,x,0,0,x,x,x,x,0,0,0,0,x,x,1,0,0,0,x,0
npn13G2V,1,0,0,1,x,1,1,0,1,x,0,0,x,x,x,x,0,0,0,0,x,x,1,0,0,0,x,0
pnpMPA,1,0,1,1,x,0,0,0,0,x,0,0,x,x,x,x,1,0,0,0,x,x,x,x,0,0,x,0
:blue:`4- Diodes`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
