"Threshold Voltage
Short Channel Device",VTPHV10x04,V,:red:`-0.71`,:blue:`-0.65`,:red:`-0.59`,A.a2,WxL = 10 x 0.4 µm²
"Threshold Voltage
Long Channel Device",VTPHV10x10,V,:blue:`-0.78`,:blue:`-0.70`,:blue:`-0.64`,A.a2,WxL = 10 x 10 µm²
"Threshold Voltage
Small Channel Device",VTPHV03x04,V,:blue:`-0.71`,:blue:`-0.64`,:blue:`-0.57`,A.a2,WxL = 0.3 x 0.4 µm²
"Saturation Current
Short Channel Device",IDSPHV04,µA/µm,:red:`-290`,:blue:`-240`,:red:`-190`,A.b2,WxL = 10 x 0.4 µm²
"Off-Current
Short Channel Device",IOFFPHV04,"LOG10
(A/µm)",,:blue:`-12.5`,:red:`-11.5`,A.c2,WxL = 10 x 0.4 µm²
"Drain Induced Barrier
Lowering 0.1/3.3V",DIBLPHV04,mV/V,:blue:`0`,:blue:`5`,:blue:`15`,A.d2,WxL = 10 x 0.4 µm²
Sub Threshold Slope,SSPHV04,mV/dec,:blue:`-102`,:blue:`-92`,:blue:`-82`,A.e,WxL = 10 x 0.4 µm²
Breakdown Voltage,BVDSSPHV04,V,,:blue:`-6.3`,:red:`-5.3`,A.f2,WxL = 10 x 0.4 µm²
"Effective Channel
Length",LEFFPHV04,µm,:blue:`0.24`,:blue:`0.30`,:blue:`0.36`,A.g2,WxL = 10 x 0.4 µm²
"Effective Channel
Width",WEFFPHV03,µm,:blue:`0.26`,:blue:`0.33`,:blue:`0.40`,A.h2,WxL = 0.3 x 0.4 µm²
Miller Capacitance,CMILLERPHV,fF/µm,:blue:`0.32`,:blue:`0.35`,:blue:`0.38`,A.k1,
Junction Capacitance,"CJUNCTION-
PHV",fF/µm²,:blue:`0.74`,:blue:`0.80`,:blue:`0.86`,A.k,
Junction Breakdown,BVPNWhv,V,,:ital:`-12`,,A.f3,
