A.a1, Threshold Voltage, "- VDS = +0.05 V / -0.05 V (n-channel / p-channel device); VBS = 0 V;
- VT is extrapolated from the maximum slope of the active transfer characteristic region. 
- A linear regression is performed to find this slope. VT = Vo - VDS/2; 
- Vo is the gate voltage intercept of the slope.
- Isolated NMOS: VnWell = 0 V"
A.a2, Threshold Voltage, "- VDS = +0.1 V / -0.1 V (n-channel / p-channel device); VBS = 0V;
- VT is extrapolated from the maximum slope of the active transfer characteristic region. 
- A linear regression is performed to find this slope. VT = Vo - VDS/2; 
- Vo is the gate voltage intercept of the slope.
- Isolated NMOS: VnWell = 0 V"
A.b1, Saturation Current, "- VDS = VGS= +1.2 V / -1.2 V (n-channel / p-channel device); 
- VBS = 0 V; Isolated NMOS; VnWell = 0 V"
A.b2, Saturation Current, "- VDS = VGS= +3.3 V / -3.3 V (n-channel / p-channel device); 
- VBS = 0 V; Isolated NMOS; VnWell = 0 V"
A.c1, Off-Current, "- VDS=+1.2V / -1.2V (n-channel device / p-channel device); 
- VGS=VBS=0 V; ID measured"
A.c2, Off-Current, "- VDS=+3.3V / -3.3V (n-channel device / p-channel device); 
- VGS=VBS=0 V; ID measured"
A.d1, Drain Induced Barrier Lowering, "- DIBL = [VGS(VDS1) - VGS(VDS2)]/(VDS1-VDS2) at ID = JSS*W/L
- VDS1 = +0.1 V; VDS2 = +1.2 V; VBS = 0 V; JSS = 0.5 nA (n-channel device)
- VDS1 = -0.1 V; VDS2 = -1.2 V; VBS= 0 V; JSS = 0.1 nA (p-channel device)"
A.d2, Drain Induced Barrier Lowering, "- DIBL = [VGS(VDS1) - VGS(VDS2)]/(VDS1-VDS2) at ID = ISS*W/L
- VDS1 = +0.1 V; VDS2 = +3.3 V; VBS = 0 V; ISS = 1 nA (n-channel device)
- VDS1 = -0.1 V; VDS2 = -3.3 V; VBS= 0 V; ISS = 0.4 nA (p-channel device)"
A.e, Sub Threshold Slope, "- VDS = +0.1 V / -0.1 V (n-channel / p-channel device); VBS = 0 V
- The slope is estimated from the two drain currents ID1 = JSS1*W/L and ID2 = JSS2*W/L
- JSS1 = 0.5 nA, ISS2 = 5 nA (n-channel device);
- JSS1 = 0.1 nA, ISS2 = 1 nA (p-channel device);"
A.f1, Breakdown Voltage, "- VGS=VBS=0 V; 
- ID=IDo=+10 nA/µm / -10 nA/µm (n-channel / p-channel device)"
A.f2, Breakdown Voltage, "- VGS = VBS = 0V; 
- ID = +100 pA/µm / -100 pA/µm (n-channel / p-channel device)"
A.f3, Breakdown Voltage, "- j = 1 mA / cm² for S/D to body diode surrounded by STI"
A.g1, Effective Channel Length, "- Extrapolated from linear regions of transistors with gate length's of 0.13 µm, 0.18 µm; 
- VDS=+0.05 V / -0.05 V (n-channel / p-channel device)
- Method (P. Suciu et.al., e.g. IEEE Tr. ED-27(1980)9,p.1846): 
- Basic equations:
- 1. `ID = ✓ (VGSeff - VDS/2) VDS`
- 2. `VGSeff = VGS - Vt`
- 3. `µ = µo / (1 + Uo VGSeff)`
- 4. `1/ ✓(VGSeff) = (L - ΔL) / (W µ Cox) = (L - ΔL) (1 + Uo VGSeff) / (W µo Cox)`
- 5. `1/✓o(L) = (L - ΔL) / (W µo Cox)`
- First step: according to equ.(4), linear extrapolation of 1/✓o = 1/✓(VGSeff = 0) from two working points
- VGSeff1 = +0.9V / -0.9V; V GSeff2 = +1.5V / -1.5V (n-channel / p-channel device) for all transistors with different gate length.
- Second step: linear regression of ΔL from all 1/✓o(L) numbers according to equ.(5)"
