Current Gain,NPN13G2_BETA,-,:red:`300`,:blue:`650`,:red:`1200`,A.n,"Aₑ =0.07x0.9 µm²"
Early Voltage,NPN13G2_VA,V,,:ital:`150`,,A.o,"Aₑ =0.07x0.9 µm²"
"Breakdown Voltage
Emitter - Collector",NPN13G2_BVCEO,V,:red:`1.4`,:blue:`1.6`,,A.p,"Aₑ =0.07x0.9 µm²"
"Breakdown Voltage
Collector - Base",NPN13G2_BVCBO,V,:red:`3.8`,:blue:`4.8`,,A.q,"Aₑ =0.07x0.9 µm²"
"Breakdown Voltage
Emitter - Base",NPN13G2_BVEBO,V,:blue:`1.0`,:blue:`1.6`,,A.r,"Aₑ =0.07x0.9 µm²"
Collector Current,NPN13G2_IC07,µA,:red:`2.6`,:blue:`3.8`,:red:`5.2`,A.ai,"Aₑ =0.07x0.9 µm²"
"Max. Collector Cur-
rent",NPN13G2_ICMAX,mA,,,:ital:`3.5`,,"Aₑ =0.07x0.9 µm²"
"Max. Transit
Frequency",NPN13G2_FT,GHz,:blue:`300`,:blue:`350`,,A.s,"Aₑ =4x(0.07x0.9 µm²)"
"Max. Oszillation
Frequency",NPN13G2_FMAX,GHz,:blue:`400`,:blue:`450`,,A.s,"Aₑ =4x(0.07x0.9 µm²)"

