Parameter,Name,Unit,Min,"Tar-
get",Max,"Meas.
Cond.",Comment
"Threshold Voltage
Short Channel Device",VTP10x013,V,-0.53,-0.47,-0.41,A.a1,WxL = 10 x 0.13 µm²
"Threshold Voltage
Long Channel Device",VTP10x10,V,-0.41,-0.36,-0.31,A.a1,WxL = 10 x 10 µm²
"Threshold Voltage
Small Channel Device",VTP015x013,V,-0.58,-0.48,-0.38,A.a1,WxL = 0.15 x 0.13 µm²
"Saturation Current
Short Channel Device",IDSP013,µA/µm,-270,-215,-170,A.b1,WxL = 10 x 0.13 µm²
"Off-Current
Short Channel Device",IOFFP013,"LOG10
(A/µm)",,-10.3,"-9,3",A.c1,WxL = 10 x 0.13 µm²
"Drain Induced Barrier
Lowering 0.1/1.2V",DIBLP013,mV/V,25,50,75,A.d1,WxL = 10 x 0.13 µm²
Sub Threshold Slope,SSP013,mV/dec,-87,-81,-75,A.e,WxL = 10 x 0.13 µm²
Breakdown Voltage,BVDSSP013,V,,-2.9,-2.2,A.f1,WxL = 10 x 0.13 µm²
"Effective Channel
Length",LEFFP013,µm,0.07,0.10,0.13,A.g1,WxL = 10 x 0.13 µm²
"Effective Channel
Width",WEFFP015,µm,0.17,0.24,0.31,A.h1,WxL = 0.15 x 0.13 µm²
Miller Capacitance,CMILLERP,fF/µm,0.31,0.35,0.39,A.k1,
Junction Capacitance,CJUNCTIONP,fF/µm²,0.8,0.85,0.9,A.k,
Junction Breakdown,BVPNW,V,,-12,,A.f3,
