Device/Layer,Activ,GatPoly,Nwell,Pwell,Pwell.block,nsD.drw,nsD,nsD.block,pSD,Nwell_holes,ptap_holes,ntap_holes,nBuLay,ThickGateOx,TRANS,EmWind,EmWiHV,SalBlock,PolyRes,MIM,Metal5,TopMetal1,TopMetal2,EXTBlock,RES,Metal1.res,Activ.mask,ContBar,Recog.diode,Recog.esd,IND,IND.pin,substrate,text
:blue:`1- MOS`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmos,1,1,0,1,0,0,1,0,0,x,x,x,x,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,x
nmosHV,1,1,0,1,0,0,1,0,0,x,x,x,x,1,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,x
pmos,1,1,1,0,0,0,0,0,1,0,x,x,x,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,x
pmosHV,1,1,1,0,0,0,0,0,1,0,x,x,x,1,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,x
:blue:`2- RF-MOS`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfnmos,1,1,0,1,0,0,1,0,0,x,1,x,0,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,1
rfnmosHV,1,1,0,1,0,0,1,0,0,x,1,x,0,1,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,1
rfpmos,1,1,1,0,0,0,0,0,1,0,x,1,0,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,1
rfpmosHV,1,1,1,0,0,0,0,0,1,0,x,1,0,1,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,1
:blue:`3- BJT`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npn13G2,1,0,0,1,0,0,1,1,0,x,1,x,0,0,1,1,0,0,0,x,x,x,x,0,0,x,1,x,0,0,0,0,0,x
npn13G2L,1,0,0,1,0,0,1,0,0,x,1,x,0,0,1,1,0,0,0,x,x,x,x,0,0,x,1,x,0,0,0,0,0,x
npn13G2V,1,0,0,1,0,0,1,0,0,x,1,x,0,0,1,0,1,0,0,x,x,x,x,0,0,x,1,x,0,0,0,0,0,x
pnpMPA,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,x
:blue:`4- Diodes`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dantenna,1,0,0,1,0,0,1,0,0,x,x,x,x,x,0,0,0,0,0,x,x,x,x,0,0,x,0,x,1,0,0,0,0,x
dpantenna,1,0,0,1,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,x,x,x,x,0,0,x,0,x,1,0,0,0,0,x
schottky_nbl1,1,0,0,0,1,0,1,1,0,1,1,x,1,1,0,0,0,1,0,x,x,x,x,0,0,x,0,1,1,0,0,0,0,x
:blue:`5- Resistors`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
res_rhigh,0,1,x,x,0,1,1,0,1,x,x,x,0,0,0,0,0,1,1,x,x,x,x,1,0,x,0,x,0,0,0,0,0,x
res_rppd,0,1,x,x,0,0,0,0,1,x,x,x,0,0,0,0,0,1,1,x,x,x,x,1,0,x,0,x,0,0,0,0,0,x
res_rsil,0,1,x,x,0,0,1,0,0,x,x,x,0,0,0,0,0,0,1,x,x,x,x,1,1,x,0,x,0,0,0,0,0,x
lvsres,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x
:blue:`6- Capacitors`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmim,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,1,1,x,x,x,x,x,x,x,x,0,0,x,x
rfcmim,x,x,x,0,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,1,1,x,x,x,x,x,x,x,x,0,0,x,x
Svaricap,1,1,1,0,0,0,1,0,0,0,x,x,1,1,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,x
:blue:`7- ESD`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diodevdd_2k,1,0,1,1,0,0,1,0,1,0,1,x,0,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
diodevdd_4k,1,0,1,1,0,0,1,0,1,0,1,x,0,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
diodevss_2k,1,0,0,1,0,0,1,0,1,1,1,x,0,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
diodevss_4k,1,0,0,1,0,0,1,0,1,1,1,x,0,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
idiodevdd_2kv,1,0,1,1,1,0,1,0,1,0,1,x,1,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
idiodevdd_4kv,1,0,1,1,1,0,1,0,1,0,1,x,1,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
idiodevss_2kv,1,0,0,1,0,0,1,0,1,1,1,x,1,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
idiodevss_4kv,1,0,0,1,0,0,1,0,1,1,1,x,1,0,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,x
nmoscl_2,1,1,1,1,0,0,1,0,1,1,x,x,1,1,0,0,0,1,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,1
nmoscl_4,1,1,1,1,0,0,1,0,1,1,x,x,1,1,0,0,0,1,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,1
scr1,1,1,1,1,0,0,1,1,1,1,x,x,1,1,0,0,0,1,0,x,x,x,x,0,0,x,0,x,0,1,0,0,0,1
:blue:`8- Inductors`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inductor,x,0,x,0,1,0,x,x,x,x,x,x,0,0,0,0,0,0,0,0,x,x,1,0,0,x,0,x,0,0,1,1,0,1
inductor3,x,0,x,0,1,0,x,x,x,x,x,x,0,0,0,0,0,0,0,0,x,x,1,0,0,x,0,x,0,0,1,1,0,1
:blue:`9- Taps`:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptap1,1,0,0,1,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,1,1
ntap1,1,0,1,0,x,0,1,0,0,0,x,x,x,x,0,0,0,0,0,x,x,x,x,0,0,x,0,x,0,0,0,0,0,1
